titreOriginal,anneeSortie,langue,genre
Wild Orchid 2 : Two Shades Of Blue,1992,,
Love Is Like That,1992,,
Guncrazy,1992,,
Private War,1990,,
Double Revenge,1988,,
Critical Condition,1987,,
Tapage Nocturne,1979,,
Vacanze Per Un Massacro,1979,,
6 000 Km Di Paura,1978,,
Queen Lear,1980,,
Suor Omicidi,1978,,Sf
Cuore Semplice,1977,,
Ultima Volta,1976,,
Fango Bollente,1975,,
Calore In Provincia,1975,,
Seeds Of Evil,1974,,
San Diego Surf,1968,,
Loves Of Ondine,1967,,
Blair Witch Project,1999,,
Ambizioso,1975,,
Donna È Bello,1974,,
Tempo Degli Assassini,1976,,
Inspector Gadget,1999,,
Summer Of Sam,1999,,
Milo,1998,,
My Favorite Martian,1999,,
Dragonheart : A New Beginning,2000,,
Red Letters,2000,,
Ceremony,1994,,
Michael Angel,1998,,
Bloody Murder,2000,,
Galgameth,1996,,
13Th Warrior,1999,Anglais,
Tobe Hooper'S Night Terrors,1993,,
Sekten,1997,,
Resurrection,1999,,
Ninth Gate,1999,Anglais,
Lord Of The Rings : The Fellowship Of The Ring,2001,,
Lord Of The Rings : The Two Towers,2002,,
Lord Of The Rings : The Return Of The King,2003,,
Sin Nombre,1999,,
Wisdom Of Crocodiles,1998,,Crime
X-Men,2000,,
Lighthouse,1999,,
Furia,1999,,
What Planet Are You From?,2000,,
André Le Magnifique,2000,,
Rosetta,1999,Français,
Ghost Dog : The Way Of The Samurai,1999,Anglais,Autres
Fille Sur Le Pont,1999,Français,
Libertin,2000,,
Any Given Sunday,1999,Anglais,
Crazy In Alabama,1999,,
Kikujiro No Natsu,1999,,
Man With Rain In His Shoes,1998,,
Lengua De Las Mariposas,1999,,
Yoyes,2000,,Historique
Tout Près Des Étoiles,2001,,
Saudade Do Futuro,2000,,
New York Beat Movie,1981,,
Trois Huit,2001,,
Guizi Lai Le,2000,,
Jeu De Cons,2001,,
Scarfies,1999,,
Old Man Who Read Love Stories,2001,Anglais,
Between The Moon And Montevideo,2000,Anglais,Autres
Roozikhi Zan Shodam,2000,,
Djomeh,2000,,
Du Soleil Pour Les Gueux,2000,,
Crime And Punishment In Suburdia,2000,,
House Of Mirth,2000,,
À L'Abri Du Temps,2000,Français,Documentaire
Inch'Allah Dimanche,2001,,
Anne Hébert,2000,Français,Documentaire
Bones Of The Forest,1995,Anglais,Documentaire
Five Senses,1999,Anglais,
Effet Boeuf,1999,Français,Documentaire
Almanach,1999,Français,Documentaire
Voyages,1999,,
Famous Fred,1996,,
Dogma,1999,Anglais,Comédie
Xiao Qian,1997,Cantonnais,Action
Tomten Är Far Till Alla Barnen,1999,,
Tempo Dell'Amore,1999,,
Lord Of The Rings,2001,,
Simon Magus,1999,,
Une Pour Toutes,1999,Français,
Král Sokolu,2000,,
Truth About Charlie,2002,,
6Th Day,2000,Anglais,
Messenger : The Story Of Joan Of Arc,1999,,
Dentist 2,1998,,
Prince Du Pacifique,2000,Français,
Marie-Line,1999,,
Kiss Of The Dragon,2001,Anglais,
Répétition,2000,Français,
Love Me,2000,,
15 Août,2001,Français,
Yamakasi : Les Samouraïs Des Temps Modernes,2001,,
Exit,2000,,
Saint-Cyr,2000,,
Opportunists,2000,,
Simon Sez,1999,,
Virtual Sexuality,1999,,
Proof Of Life,2000,,
Just Visiting,2001,,
What Dreams May Come,1998,,
Chocolat,2000,,
Mexican,2001,,
Enfants Du Siècle,1999,Français,
Plata Quemada,2000,Espagnol,
Passage Du Milieu,2000,,
Miroirs Aveugles,1999,,Documentaire
Felicia'S Journey,1999,Anglais,Drame
Barnie Et Ses Petites Contrariétés,2000,,
Todo Sobre Mi Madre,1999,,
Vertical Limit,2000,,
Boys Don'T Cry,1999,Anglais,
Straight Story,1999,Anglais,
Cinéma Vérité : Defining The Moment,1999,Anglais,Documentaire
Enfants Du Marais,1999,,
Falling,1998,,
Femmes Et Religieuses,1999,,Documentaire
Insider,1999,,
Limey,1999,,
Mansfield Park,1999,Anglais,
Mademoiselle,2001,,
Mort Intime,2001,,
Minus Man,1999,Anglais,
Bûche,1999,,
Elephant Juice,1999,,
Salzmänner Von Tibet,1997,,Documentaire
Tian Yu,1998,,
Temps Retrouvé,1999,Français,
Adieu Babylone,2000,,
Voyance Et Manigance,2001,,
De L'Histoire Ancienne,2001,,
Clara,2000,,
Comédie De L'Innocence,2000,,
Wo Hu Zang Long,2000,,Autres
Bless The Child,2000,,
Nadie Conoce A Nadie,1999,,
Cell,2000,,
Fausse Suivante,2000,,
Vie Moderne,2000,Français,
Road To El Dorado,2000,Anglais,
Pas De Scandale,1999,,
Titan A.E.,2000,,
Scary Movie,2000,Anglais,
Next Best Thing,2000,,
Appelez-Moi Alex,1999,,
Little Vampire,2000,,
Snatch,2000,,
Urban Legend : Final Cut,2000,,
Galaxy Quest,1999,,Action
"Tout Va Bien, On S'En Va",2000,Français,
Tour Du Monde En 80 Jours,2000,,
Betty Fisher Et Autres Histoires,2001,Français,Drame
Ma Petite Entreprise,1999,,Comédie
Électroménager,2001,Français,
Belle-Maman,1999,,
Kennedy Et Moi,1999,,
Lost & Found,1999,,
Anniversary Party,2001,,
Placard,2001,Français,
French,1981,,
Kaïro,2001,,
Mauvaise Passe,1999,,
Rákóczi Hadnagya,1953,,
Passionnément,2000,,
Time In The Sun,1940,,
Made In The Usa,2001,,
Qui Je Suis,1996,,
Cq,2001,,
Rain,2001,Anglais,
Décharge,1999,,
Old Man And The Sea,1999,Anglais,Animation
Hemingway : A Portrait,1999,Anglais,Documentaire
Midsummer Night'S Dream,1999,,
World Is Not Enough,1999,,Action
Fidélité,2000,Français,
Manoscritto Del Principe,2000,,
Lisa,2001,,
Lettre,1999,,
Libero Burro,1999,,
Six-Pack,2000,,
Lait De La Tendresse,2000,,
Cendres Du Paradis,2000,,
Rien À Faire,1999,,
Vie Ne Me Fait Pas Peur,1999,,
Rien Dire,1999,,
Balia,1999,,
"Ali Zaoua, Prince De La Rue",2000,Arabe,Drame
Mayis Sikintisi,1999,,
On Appelle Ça Le Printemps,2000,,
Fantasma,2000,,
Stand-By,2000,,
Voleuse De Saint-Lubin,1999,,Autres
Plage Noire,2001,,
Pete Kelly'S Blues,1955,,
Himmel Ohne Sterne,1955,,
Sous Le Sable,2000,Français,
Too Much Flesh,2000,,
Girls On The Loose,1958,,
Ciudad De Los Prodigios,1999,,
Nos Traces Silencieuses,1998,,
Séparées,2001,,
Hollywood Or Bust,1956,,
Sorok Pervyj,1956,Russe,Historique
Full Tilt Boogie,1997,,Documentaire
Tremors,1990,,
Peuple Migrateur,2001,,Documentaire
Last Of The High Kings,1996,,
Seven Waves Away,1957,,
Herr Puntila Und Sein Knecht Matti,1955,,
Mister Cory,1957,,
Tamango,1957,,
Retour De Manivelle,1957,,
Cronache Di Poveri Amanti,1954,,
Bolshoi Ballet,1957,,
Passion Juvénile,1957,,
Paris Holiday,1958,,
Gebroken Spiegels,1984,,
Touch And Die,1991,,
Wild Wild West,1999,,
Agnes Browne,1999,,
Langue,2000,,
Rose Bernd,1956,,
Arzt Von Stalingrad,1958,,
Tuntematon Sotilas,1955,,
Fils De L'Eau,1958,,
"Taxi, Roulotte Et Corrida",1958,,
Ognennyye Versty,1957,,
Vérité Si Je Mens 2,2001,Français,
Reines D'Un Jour,2001,,
Faute A Voltaire,2000,,
Last Mile,1959,,
Purely Belter,2000,,
Fantômes De Louba,2001,,
Noche Con Sabrina Love,2000,,
Te Quiero,2000,,
Dobrý Voják Svejk,1956,,
Ztracenci,1956,,
Weddings And Babies,1958,,
Sabudareli Chabuki,1957,,
Kapitanskaya Dochka,1959,,
Tripes Au Soleil,1959,,
"Uomini, Che Mascalzoni !",1932,,
Rembrandt,1999,Français,
Peau Neuve,1999,,
Mambospiel,1998,,
Erdnussmann,1992,,
Air Bud : Golden Receiver,1998,,
Notting Hill,1999,,Comédie
Amants Criminels,1999,,
Mam'Zelle Nitouche,1931,,
Simone Barbès Ou La Vertu,1980,Français,
"Augustin, Roi Du Kung-Fu",1999,,
"South Park : Bigger, Longer & Uncut",1999,,Animation
Enfer Et Contre Tous!,1999,,
Idée Noire,2000,Français,Documentaire
Larguer Les Amarres,1999,Français,Documentaire
Opération Salami : Les Profits Ou La Vie?,1999,Français,Autres
Voyage Au Nord Du Monde,1999,,
Petit Ciel,1999,Français,
Magnolia,1999,,
Moloch,1999,,
Talented Mr. Ripley,1999,Anglais,
Cradle Will Rock,1999,Anglais,
Haut Les Coeurs!,1999,,
Beau Travail,1999,Français,
End Of The Affair,1999,Anglais,Drame
Man On The Moon,1999,,Comédie
Angela'S Ashes,1999,,
Topsy-Turvy,1999,Allemand,
Sunshine,1999,Anglais,
Convoyeurs Attendent,1999,Français,
Hurricane,1999,,Drame
Leggenda Del Pianista Sull'Oceano,1998,,
En Attendant Zoé,2000,,Documentaire
Ten Seconds To Hell,1959,,
Sudba Cheloveka,1959,,
"Kinder, Mütter Und Ein General",1955,,
Bucaneer,1958,,
Hot Summer Night,1957,,
Vampiros En La Habana,1985,,
Together,1956,,
Wishmaster 2 : Evil Never Dies,1999,,
Wing Commander,1999,,
Mummy,1999,,
Ravenous,1999,,
Frontier Rangers,1959,,
Anna Na Shee,1954,,
Murder By Contract,1958,,
Paar,1984,,
Magical Legend Of The Leprechauns,1999,,
Claretta,1984,,
Nan Bei Shao Lin,1986,,Autres
Kamikaze,1960,,
Lâches Vivent D'Espoir,1961,,
Brigade Des Moeurs,1959,,
Roar,1981,,
Donna Che Inventò L'Amore,1952,,
Sud,1999,,Documentaire
Lost World,1998,,
Treize Journées Dans La Vie De Pablo Picasso,1999,,Documentaire
Kadosh,1999,,
Wonderland,1999,,
Sombré Dans L'Oubli : L'Histoire De L'Empress Of Ireland,1999,Français,Documentaire
S.,1998,,
Lawman,1971,,
Limbo,1999,,Drame
Avant Le Jour,1999,Français,Documentaire
Winslow Boy,1999,,Drame
Polety Vo Sne I Najavu,1983,,
Bon Dieu Sans Confession,1953,,
Dementia,1955,,
Cangaceiro,1953,,
Lupa,1952,,
Flight To Tangier,1953,,
King Of The Khyber Rifles,1953,,
Boots Malone,1952,,
Villa Borghese,1953,,
Glass Wall,1953,,
Tomb Raider,2001,,
Escalier De Service,1954,,
08 / 15 : Zweiter Teil,1954,Allemand,
Carry On Up The Jungle,1970,,
Rebelión De Los Colgados,1954,,
Fausses Confidences,1984,,
Onibi,1997,,
Gunro No Keifu,1997,,
Chinpira,1996,,
Trading Mom,1994,,
Mektoub,1998,,
Cal,1984,,
Lola Rennt!,1998,Allemand,
Reel Du Mégaphone,1999,Français,Documentaire
When The Day Breaks,1999,Anglais,Animation
Another Day In Paradise,1998,,
Créateur,1999,,
Buena Vista Social Club,1999,Anglais,Documentaire
Johns,1996,,
Komodo,1999,,
Nattens Engel,1998,,
Sometimes They Come Back... For More,1999,,
Carnival Of Souls,1998,,
Yi Ge Dou Bu Neng Shao,1999,,
Ogniem I Mieczem,1999,,
Cruel Intentions,1999,,
Mod Squad,1999,,
"Côté Coeur, Côté Jardin",1984,,
Blow,2001,,
Signs & Wonders,2000,,
Némo,1984,,
Office Space,1999,,
Ydmygede,1999,,
"Lock, Stock And Two Smoking Barrels",1998,,
Analyze This,1999,,
Corruptor,1999,,
Desperately Seeking Helen,1999,Français,Documentaire
Jerry And Tom,1998,,Comédie
Matrix,1999,,
Rushmore,1998,,
Babar : King Of The Elephants,1999,,Animation
Baby Geniuses,1999,,
Doug'S 1St Movie,1999,,Animation
Extraordinary Visitor,1998,Anglais,
Forces Of Nature,1999,,
Just The Ticket,1999,Anglais,
King And I,1999,,
Never Been Kissed,1999,,
October Sky,1999,,
Other Sister,1999,,
Out-Of-Towners,1999,,
Leilasede,1995,,
Real Howard Spitz,1998,,
Such A Long Journey,1998,,
10 Things I Hate About You,1999,,
Theory Of Flight,1998,,
20 Dates,1998,,
200 Cigarettes,1999,,
Under The Skin,1997,,
Jakten På Nyresteinen,1996,,
Simpatico,1999,,
"Reuben, Reuben",1983,,
Inséparables,1999,Français,
Nos Vies Heureuses,1999,,
Holy Smoke,1999,Anglais,
Beach,2000,Anglais,
Destinées,1953,,
Hollywood Outtakes,1984,,
Kocár Do Vídne,1966,,Drame
Barrio,1998,,
Prison À Domicile,1999,,Comédie
Superlove,1999,,
Dangerous Beauty,1998,,Drame
"Adieu, Plancher Des Vaches!",1999,,
Marana Simhasanam,1999,,
Bodas De Deus,1999,,
Beresina Oder Die Letzten Tage Der Schweiz,1999,,Comédie
Bleu Des Villes,1999,Français,
Judy Berlin,1999,,
Shade,1999,,
Coronel No Tiene Quien Le Escriba,1999,,
Passagers,1999,,
Casablancais,1999,,
Mes Amis,1999,,
Siebtelbauern,1998,,
Île Au Bout Du Monde,1999,,
Judas Kiss,1998,,
Spie Vengono Dal Semifreddo,1966,,
Abwege,1928,,
Forte Est La Terre,1998,,Documentaire
Anouchka,1999,,
"Biandan, Guniang",1998,,
Akhar,1999,,
Entrapment,1999,,
East Is East,1999,Anglais,
War Zone,1999,,Drame
Tianshang Renjian,1999,,
Guy Maddin : Waiting For Twilight,1997,Anglais,Documentaire
Commission De La Vérité,1999,,Documentaire
Hygiène De L'Assassin,1999,,
Leben Ist Eine Baustelle,1997,,
Autres Filles,2000,,
Hatachi No Binetsu,1993,,
"Lucky, El Intrépido",1967,,
Vilains,1999,,
Pola X,1999,,
Humanité,1999,Français,Drame
Diamonds,1999,,
Une Liaison Pornographique,1999,,
Goût Des Autres,2000,Français,
Get Real,1998,,
Ave Maria,1984,,
Hi-Lo Country,1998,,
Once We Were Strangers,1997,,
Femmes... Et Femmes,1999,,
Merci Mon Chien,1999,Français,
Derrière,1999,,
Je Règle Mon Pas Sur Le Pas De Mon Père,1999,,
New Rose Hotel,1998,,
Usta Beni Oldursene,1998,,
Pierres Bleues Du Désert,1992,,
Alyam Alyam,1978,,
Masumiyet,1997,,
Günese Yolculuk,1999,,
Woman Hater,1949,,
Tabutta Rovasata,1997,,
Fight To The Last,1938,,
Teufels General,1955,,
Poprigunya,1955,,
Cattle Queen Of Montana,1954,,Aventure
Vestire Gli Ignudi,1953,,
Une Affaire De Goût,2000,Français,
Pornographer : A Love Story,2000,,
Double De Ma Moitié,1999,,
Neokonchyonnaya Povest,1955,,
8 X 8,1955,,
Lovers And Lollipops,1956,,
François Mauriac,1955,,Documentaire
Election,1999,,
In Extremis,2000,,
Urgence! Deuxième Souffle,1999,,Documentaire
Manipularea,2001,,
On S'Est Tous Défilé,1988,,
U Samogo Sinyego Morya,1936,,
Sicilia!,1999,,
Mille Bornes,1999,,
Orphans,1998,,
Amantes Del Circulo Polar,1998,,
Lost And Delirious,2001,Anglais,
"Mon Père, Ma Mère, Mes Frères Et Mes Soeurs",1999,,
Entre Las Piernas,1999,,
101 Reykjavík,2000,,
Sin Noticias De Dios,2001,,
Clouds : Letters To My Son,2001,,
Musketeer,2001,,
Petit Poucet,2001,,
Knockaround Guys,2001,,
Speak Truth To Power,2000,,
Ladies Room,1999,Anglais,Comédie
Criminal,1999,Anglais,
Prof,2000,,
With Or Without You,1999,Anglais,
Jet Set,2000,,
Total Western,2000,,
Last September,1999,,
Hs - Hors Service,2001,,
Jour Et La Nuit,1997,,
Luchino Visconti,1999,,
Li Chiamarano... Briganti!,1999,,
Mein Liebster Feind - Klaus Kinski,1999,,Documentaire
Concorrenza Sleale,2001,Italien,
Confusion Des Genres,2000,,
Un Ange,2001,,
Taule,2000,,
Before Night Falls,2000,,
Semana Santa,2001,,
Unfaithful,2001,,
Edges Of The Lord,2001,,
Reckoning,2004,,
Pavilion Of Women,2001,,
Gamer,2001,,
Amazone,2000,,
30 Ans,2000,,
Infortunes De La Beauté,1999,,
C'Est Pas Ma Faute,1999,,
Bo Ba Bu,2001,,
Hors Jeu,1998,,
Vie Crevée,1992,,
Tu Seras Un Homme,2000,,
Pourquoi Se Marier Le Jour De La Fin Du Monde?,1999,,
Art (Délicat) De La Séduction,2001,,
Là-Bas... Mon Pays,2000,,
Gens Qui S'Aiment,2000,,
Une Journée De Merde,1999,,
Absolument Fabuleux,2001,,
Un Crime Au Paradis,2001,Français,
Fils Du Français,1999,,Comédie
Débandade,1999,Français,
Cena,1998,,
Time Machine,2001,,Sf
Fourth Angel,2001,Anglais,
Roman De Lulu,2001,,
Bon Plan,2000,,
Meilleur Espoir Féminin,2000,,
Trafic D'Influence,1999,,
Collègues,1999,,
Plus Beau Pays Du Monde,1999,,
Charité Biz'Ness,1998,,
Passeurs De Rêves,2000,,
Homme De Ma Vie,1999,,
Pornographe,2001,Français,
Du Côté Des Filles,2001,,
Extension Du Domaine De La Lutte,1999,,
Ni Nebian Jidian,2001,,
Affaire Marcorelle,2000,,
Cuisine Chinoise,1999,,
History Is Made At Night,1999,,
My Life So Far,1999,,
Big Brass Ring,1999,,
Cuisine Américaine,1998,,
Incognito,1997,,Crime
Épouse-Moi,2000,,
I Dreamed Of Africa,2000,Anglais,Drame
Bride Of The Wind,2001,,
Queen Of The Damned,2001,,
Gil Evans,1998,,
"Jacques Normand, L'Enfant Terrible",1997,,Documentaire
Ever After,1998,,
Peut-Être,1999,Français,
Hideous Kinky,1998,,
Pourquoi Pas Moi,1999,,
Here Am I,1999,Bulgare,
Requiem For The Missing,2000,,
Cirque Du Soleil : Journey Of Man,2000,,
Michael Jordan To The Max,2000,,
Innocence,2000,Anglais,
Gojira Ni-Sen Mireniamu,1999,,
Jesus' Son,1999,Anglais,
Lea,1996,Allemand,
Original Kings Of Comedy,2000,,
Pan Tadeusz,1999,,
Big Kahuna,1999,Anglais,
Timecode,2000,,
Shaft,2000,,Action
"Anticosti, Au Temps Des Menier",2000,Français,Documentaire
Main Basse Sur Les Gènes,1999,,Documentaire
Clonage Ou L'Art De Se Faire Doubler,2000,,Documentaire
Temps Et Le Lieu,2000,Français,Documentaire
Oubliés Du Xxie Siècle Ou La Fin Du Travail,2000,,Documentaire
Gladiator,2000,,
Joe Gould'S Secret,2000,Anglais,
Mediterraneo Sempre / Méditerranée Pour Toujours,2000,Français,Documentaire
Rêve D'Alonso,2000,Espagnol,Documentaire
Winter Lily,1998,Anglais,
Waking The Dead,2000,,
Seducing Maarya,1999,Anglais,
Rules Of Engagement,2000,Anglais,
Mifunes Sidste Sang,1999,,
High Fidelity,2000,Anglais,
Carta,1999,,
Erin Brockovich,2000,,
Phörpa,1999,Hindi,
8½ Women,1999,,
Bad Ma Ra Khahad Bord,1999,Farsi,
Score,2001,,
Karmina 2,2001,Français,
Bread And Roses,2000,Anglais,
Jacob Two Two Meets The Hooded Fang,1999,,
Misery Harbour,1999,,Drame
Eternal Husband,1999,,
4 Days,1999,Anglais,
Heater,1999,,
Life Before This,1999,Anglais,
My Father'S Angel,1999,Anglais,
Rollercoaster,1999,,
Shoemaker,1999,Anglais,
Cube,1999,,
Better Than Chocolate,1999,Anglais,
Bad Money,1999,Anglais,
Apartment Hunting,1999,,
Highwayman,1999,,
Pasta King Of The Carribean,1999,,
Siamoises,1999,Français,
Sparkle,1999,Anglais,
Tail Lights Fade,1999,Anglais,
Too Much Sex,1999,,
Touched,1999,,
Zacharia Farted,1999,,
Angel In A Cage,1998,,
Another Planet,1999,,
Beefcake,1998,,
Conquest,1998,,
Dirty,1998,Anglais,
Dog Park,1998,,
Dukes,1998,,
Horsey,1998,Anglais,Drame
Jack & Jill,1998,,
Nguol Thùa,1998,,
Rupert'S Land,1998,,
Things To Do On A Saturday Night,1998,,
Matusalem 2 : Le Dernier Des Beauchesne,1997,Français,
Painted Angels,1998,,
Pale Saints,1998,,
Regeneration,1998,,
Seeds Of Doubt,1998,,
Seetha And Carole,1998,,
Boys Club,1997,Anglais,
Coyote Club,1997,,
Hard Core Logo,1997,Anglais,Autres
Joe'S So Mean To Josephine,1996,,Drame
Live Bait,1997,,
Once In A Blue Moon,1995,,
Salt Water Moose,1997,,
Taxi To L.A.,1997,Anglais,
Vérité Est Un Mensonge,2001,Français,
Perfumer,1997,Anglais,
America'S Sweethearts,2001,,
Ocean'S Eleven,2001,,
Pootie Tang,2001,,
Possession,2002,,
Shallow Hal,2001,,Comédie
Road To Perdition,2002,,
"South Of Heaven, West Of Hell",2000,,
Whole Shebang,2000,,
Delivering Milo,2001,,
Monkeybone,2001,,
Saving Grace,2000,,
Johnny Eck,2002,,
Don'S Plum,2001,,
Thérèse Raquin,2001,,
Enigma,2001,,
Gone In Sixty Seconds,2000,,Crime
Windtalkers,2001,,
Adaptation,2002,,
Vanilla Sky,2001,,
Captain Corelli'S Mandolin,2001,Anglais,
Woman On Top,2000,,
All The Pretty Horses,2000,,Aventure
Volavérunt,1999,,
Famous,2000,,
28 Days,2000,,
Gun Shy,2000,,
Miss Congeniality,2000,,
Fool Proof,2001,,
Chambermaid,2001,,
Affair Of The Necklace,2001,,
Red Betsy,2001,,
Panic,2000,,
Clint Eastwood : Out Of The Shadows,2000,,
Toscano,1999,,
Mirka,2000,,
"Girl, Interrupted",1999,Anglais,
Uninvited,1999,,
Instinct,1999,,
Pique-Nique De Lulu Kreutz,2000,Français,
Laissons Lucie Faire!,2000,,
Harem Suare',1999,,
Laissez-Passer,2002,Français,
Bella Ciao,2001,,Documentaire
Ange De Goudron,2001,Français,
Warshaw On The Main,1999,,Documentaire
Arjuna,1999,,
Town & Country,2001,,
Muse,1999,,
Muppets From Space,1999,,
Crush,2001,,
Frequency,2000,,
Luna E L'Altra,1996,,Comédie
Simply Irresistible,1999,,
House On Haunted Hill,1999,,
Deep Blue Sea,1999,,
Na Komete,1971,,Sf
Beowulf,1999,,
Halloween H20 : 20 Later,1998,Anglais,
Phantoms,1998,Anglais,
Piranha,1978,,
Karisuma,1999,,
Eye Of The Beholder,2000,Anglais,
Astronaut'S Wife,1999,,
Bridget Jones'S Diary,2001,,
Mickey Blue Eyes,1999,,
Autumn In New York,2000,,
Mothman Prophecies,2001,,
Runaway Bride,1999,,
Golden Bowl,2000,Anglais,
Tape,2001,,
Chelsea Walls,2001,Anglais,
Planet Of The Apes,2001,,
Invincible,2001,,
Kangaroo Jack,2003,,
Joe Dirt,2001,,
"Scotland, Pa.",2001,,
Serendipity,2001,Anglais,
Animal Factory,2000,,
Mystery Men,1999,,Documentaire
Ringu 2,1999,,
Tycus,2000,,
Jin-Roh,1999,,
Tarzan,1999,,Animation
Sinbad : Beyond The Veil Of Mists,2000,,
Fear : Resurrection,1999,,
Dôwa Meita Senshi Windaria,1986,,
Fear,1995,Anglais,
G2,1998,,
Thirteenth Floor,1999,,
Universal Soldier : The Return,1999,,
Grandi Magazzini,1939,,
Testament Des Dr. Mabuse,1962,,Sf
Cats Don'T Dance,1997,,Animation
"Mobutu, Roi Du Zaïre",1999,,
Petite Vendeuse De Soleil,1999,Français,
Eugenio,1999,,Animation
Une Poupée Dans La Neige,1998,Sans paroles,Animation
Ideal Husband,1999,,
Comedian Harmonists,1997,,
Pushing Tin,1999,,Comédie
Tea With Mussolini,1999,,Drame
Ligne 208,2001,,
Une Femme Dans La Nuit,1943,,
Ciboulette,1933,,
Jeunesse D'Abord,1935,,
Un Oiseau Rare,1935,,
Boesman And Lena,2000,,
Hohokekyo Tonari No Yamada-Kun,1999,,
Homme Des Foules,2001,,
Our Song,2000,,
Little Senegal,2001,,
Anniversaire De Thomas,1982,,Documentaire
Piao Liang Ma Ma,2000,,
Little Nicky,2000,,
Charlie'S Angels,2000,,
Red Planet,2000,,
Sånger Från Andra Våningen,2000,,
Back From The Dead,1996,,
Arthur'S Quest,1999,,
Crocodile,2000,,
Python,2000,,
Blast From The Past,1999,Anglais,
Bats,1999,,
Return Of The Texas Chainsaw Massacre,1994,,
Phantasm 4 : Oblivion,1998,,
Flores De Otro Mundo,1999,,
Sauve-Moi,2000,,
Picpus,1943,,
Pingu,1990,,
Titanic : Anatomy Of A Disaster,1997,,Documentaire
Cinéma De James Cameron,1999,,Documentaire
Tchou Tcha,1997,,Animation
Austin Powers : The Spy Who Shagged Me,1999,,
Glória,1999,,
Jazzman Du Goulag,1999,,Documentaire
Swamp!,1999,,
Random Hearts,1999,,
Teaching Mrs. Tingle,1999,,
Hardware Wars : Special Edition,1999,,
Temps Des Barbares,1999,Français,Documentaire
Third Miracle,1999,,
Kozel A Szerelemhez,1999,,
Wagner,1999,,
Navrat Idiota,1999,,
Torowisko,1999,,
Puce,1999,,
Ghessé Hayé Kish,1999,,
Sugata Sanshiro,1965,,Autres
Fiona,1998,,
You Can Count On Me,2000,Anglais,
Thirteen Days,2000,,
Ressources Humaines,1999,,
Protection,2000,Anglais,
Pleure Pas Germaine,2000,,
Malèna,2000,,
Himalaya : L'Enfance D'Un Chef,1999,,
Goya En Burdeos,1999,,
"Fast Food, Fast Women",2000,,
Gas-S-S-S,1970,,Sf
Dracula 2000,2000,,
Desire,2000,Anglais,
Luna Papa,1999,,
Yuen Ling-Yuk,1992,Cantonnais,
Tusk,1980,,
Julie Est Amoureuse,1998,,
Addams Family Reunion,1998,,
Locket,1946,Anglais,
"Peau D'Homme, Coeur De Bête",1999,,
Promène-Toi Donc Tout Nu!,1999,,
Singapore Sling,1990,,
Candyman : Day Of The Dead,1999,,
General'S Daughter,1999,,
Pafekuto Buru,1998,,Animation
All New Adventures Of Chastity Blade,1999,,
Gamera 3 : Iris Kakusei,1999,,
Tribute To Dick Smith,1996,,
Malefica,1998,,
Killers,1996,,
Ravager,1997,,
Mosquito,1995,,
Gabbianella E Il Gatto,1998,,
Messie,1999,,
"Joyeux Noël, Petit Moonky",1999,,
Qui Plume La Lune?,1999,,
Rudolph The Red-Nosed Reindeer : The Movie,1998,,
Scream 3,2000,Anglais,
Viy,1967,Russe,Comédie
Quarry,1998,,
Abre Los Ojos,1997,,
V Toj Strane,1998,,
Three Seasons,1999,,
Sangue,1989,,
Leave It To Beaver,1997,,Comédie
Wildente,1976,Allemand,
Cours Toujours,2000,,
Spalovach Mrtvol,1969,,
Simbad E Il Califfo Di Bagdad,1973,,
"Vie Est Dure, Nous Aussi",1999,,
Barbecue-Pejo,2000,,
Signé Charlotte,1985,Français,
Reines D'Un Jour,1997,,
Anders Als Die Anderen,1919,,
Best Men,1997,,
1999 Madeleine,1999,,
From Dusk Till Dawn 2 : Texas Blood Money,1999,,
Child'S Play 2,1990,,
Je Suis Vivante Et Je Vous Aime,1998,,
Charbons Ardents,2000,,Documentaire
Voyous Voyelles,2000,,
Ningen Gokaku,1998,,
Mors Aux Dents,1979,,
M / Other,1999,,
Nadia Et Les Hippopotames,1999,,Autres
Un Dérangement Considérable,1999,,
Exodes,2000,,Documentaire
Sur Incises,1999,,Documentaire
"Ciel, Les Oiseaux Et...Ta Mère!",1999,,
Avci,1998,,
À L'Attaque!,2000,Français,
Solitaires,2000,,
Bamboubabulle,1998,,
Poika Ja Ilves,1998,,
Adam & Eva,1997,,
Come Te Nessuno Mai,1999,,
Whole Nine Yards,2000,Anglais,
Eureka,2000,,
Quantum Project,2000,,
Premier Du Nom,2000,,
À La Verticale De L'Été,2000,,
Bobby G. Can'T Swim,1999,,
Solas,1999,,
Goulag,2000,,
Presque Rien,2000,,
Up At The Villa,2000,Anglais,Drame
Hanging Up,2000,,Comédie
"Paris, Mon Petit Corps Est Bien Las De Ce Grand Monde",2000,,
Callas Forever,2001,,
Chambre Des Officiers,2001,Français,
Vidocq,2001,Français,
Grandes Bouches,1999,,
Petite Conversation Familiale,2000,,
Yeux Brouillés,2000,,
"Me, Myself & Irene",2000,Allemand,
Un Air Dans La Tête,2000,,
Terriens,2000,,
Being Light,2001,,
Gojitmal,1999,,
Storste Helte,1996,,
Mar,2000,,
Cecil B. Demented,2000,Anglais,
Micheline,2000,,
Beat Nicks,2001,,
Tout Ira Mieux!,1995,,
Petite Misère,2001,,
Kippur,2000,Hébreu,
Vallée Close,1997,,
